Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Tom	14:48 1/3/2022	124
Lana	14:48 1/3/2022	93
Tom	19:49 1/3/2022	141
Lana	19:49 1/3/2022	139
TomH	19:49 1/3/2022	132
Lana	20:6 1/3/2022	127
df	22:34 1/3/2022	91
df	22:34 1/3/2022	164
TomH	10:54 1/4/2022	166
Jim	11:2 1/4/2022	134
TomH	11:2 1/4/2022	122
Tom	11:9 1/4/2022	121
Jim	11:21 1/4/2022	148
Lana	17:11 1/4/2022	151
Jim	17:11 1/4/2022	163
TomH	17:11 1/4/2022	163
Jim	17:20 1/4/2022	151
TomH	17:20 1/4/2022	132
Tom	19:58 1/4/2022	134
Lana	20:13 1/4/2022	155
Tom	20:13 1/4/2022	148
TomH	20:26 1/4/2022	207
TomH	20:27 1/4/2022	928
Lana	23:8 1/4/2022	161
Lana	23:47 1/4/2022	364
Tom	1:59 1/5/2022	230
Tom	1:59 1/5/2022	861
Deb	2:12 1/5/2022	230
TomH	2:12 1/5/2022	159
Tom	2:13 1/5/2022	1186
Tom	2:14 1/5/2022	159
TomH	2:17 1/5/2022	1187
Nikita	2:17 1/5/2022	929
Tom	2:25 1/5/2022	506
TomH	2:31 1/5/2022	124
Tom	2:56 1/5/2022	170
