Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Tom	14:48 1/3/2022	124
Lana	14:48 1/3/2022	93
Tom	19:49 1/3/2022	141
Lana	19:49 1/3/2022	139
TomH	19:49 1/3/2022	132
Lana	20:6 1/3/2022	127
df	22:34 1/3/2022	91
df	22:34 1/3/2022	164
TomH	10:54 1/4/2022	166
Jim	11:2 1/4/2022	134
TomH	11:2 1/4/2022	122
Tom	11:9 1/4/2022	121
Jim	11:21 1/4/2022	148
Lana	17:11 1/4/2022	151
Jim	17:11 1/4/2022	163
TomH	17:11 1/4/2022	163
Jim	17:20 1/4/2022	151
TomH	17:20 1/4/2022	132
Tom	19:58 1/4/2022	134
Lana	20:13 1/4/2022	155
Tom	20:13 1/4/2022	148
TomH	20:26 1/4/2022	207
TomH	20:27 1/4/2022	928
Lana	23:8 1/4/2022	161
Lana	23:47 1/4/2022	364
Tom	1:59 1/5/2022	230
Tom	1:59 1/5/2022	861
Deb	2:12 1/5/2022	230
TomH	2:12 1/5/2022	159
Tom	2:13 1/5/2022	1186
Tom	2:14 1/5/2022	159
TomH	2:17 1/5/2022	1187
Nikita	2:17 1/5/2022	929
Tom	2:25 1/5/2022	506
TomH	2:31 1/5/2022	124
Tom	2:56 1/5/2022	170
Tom	0:7 2/2/2022	1050
TomH	0:7 2/2/2022	86
Tom	0:10 2/2/2022	229
TomH	0:10 2/2/2022	155
Mike	0:31 2/2/2022	1457
Deb	0:34 2/2/2022	203
Jim	0:35 2/2/2022	448
Mike	0:56 2/2/2022	575
Deb	0:58 2/2/2022	214
Deb	1:3 2/2/2022	201
Deb	1:9 2/2/2022	203
Deb	1:10 2/2/2022	933
Deb	1:21 2/2/2022	124
Mike	11:7 2/2/2022	185
Deb	14:4 2/2/2022	201
Mike	14:4 2/2/2022	330
Jim	14:50 2/2/2022	342
Tom	14:50 2/2/2022	144
Jim	14:52 2/2/2022	336
Mike	14:52 2/2/2022	393
Mike	14:53 2/2/2022	401
Jim	14:53 2/2/2022	134
Mike	15:6 2/2/2022	206
Jim	15:6 2/2/2022	861
Mike	15:44 2/2/2022	1581
Mike	16:30 2/2/2022	519
Lana	16:30 2/2/2022	139
Mike	16:44 2/2/2022	363
Jim	16:44 2/2/2022	252
Mike	16:55 2/2/2022	-2083
Jim	16:55 2/2/2022	-2703
